序号,位号,名称,型号规格,封装,数量,备注
1,U1,主控开发板,ESP32-S3 SuperMini（ESP32-S3FH4R2，USB-C）,外购模块 22.5×18 mm,1,2×9 插针；板载 LDO / 按键 / RGB 灯
2,"J8, J9",排母,2.54 mm 1×9 排母,直插,2,SuperMini 插座（两排，中心距按实物）
3,"U2, U3",RS485 收发器,THVD1406DR,SOIC-8,2,自动方向，500 kbps；U2 车端、U3 保护板
4,"C8, C9",陶瓷电容,100 nF / 25 V,0805,2,收发器去耦
5,C10,陶瓷电容,10 µF / 10 V X7R,0805,1,3.3 V 轨体电容
6,"R10, R11",电阻,10 kΩ,0805,2,/RE 与 /SHDN 并接上拉
7,"R12, R13",电阻,10 kΩ,0805,2,R 输出上拉
8,"R14, R15",电阻,100 kΩ,0805,2,D 输入上拉
9,"R16, R17",电阻,10 Ω 脉冲耐受,0805,2,车端 A/B 串联
10,"R18, R19",电阻,10 Ω 脉冲耐受,0805,2,保护板 A/B 串联
11,"TVS2, TVS3",TVS 阵列,SM712,SOT-23,2,RS-485 专用（脚 3 = GND）
12,"R20, R21",电阻,390 Ω ±1 %,0805,2,A 偏置上拉
13,"R22, R23",电阻,390 Ω ±1 %,0805,2,B 偏置下拉
14,"R24, R25",电阻,120 Ω ±1 %,0805,2,终端电阻
15,"JP1, JP2",跳线,2.54 mm 1×2 排针 + 短路帽,直插,2,终端使能
16,"J2, J3",RS485 端子 / 排针,2.54 mm 1×4（螺钉端子或排针）,直插,2,A/B/GND/备用
17,J5,电源输入排针,2.54 mm 1×2 排针,直插,1,5V_IN / GND
